Disease,OPCS4code,OPCS4codeDescr,Category,ICD10code,ICD10codeDescr
Intervertebral disc disorders,V639,Unspecified revisional percutaneous intradiscal radiofrequency thermocoagulation to intervertebral disc,Procedure for Intervertebral disc disorders,,
Other nervous system infections,,,Diagnosis of Other nervous system infections,A066,Amoebic brain abscess
Other nervous system infections,,,Diagnosis of Other nervous system infections,A178,Other tuberculosis of nervous system
Other nervous system infections,,,Diagnosis of Other nervous system infections,A179,"Tuberculosis of nervous system, unspecified"
Other nervous system infections,,,Diagnosis of Other nervous system infections,A521,Symptomatic neurosyphilis
Other nervous system infections,,,Diagnosis of Other nervous system infections,A522,Asymptomatic neurosyphilis
Other nervous system infections,,,Diagnosis of Other nervous system infections,A523,"Neurosyphilis, unspecified"
Other nervous system infections,,,Diagnosis of Other nervous system infections,A80,Acute poliomyelitis
Other nervous system infections,,,Diagnosis of Other nervous system infections,A81,Atypical virus infections of central nervous system
Other nervous system infections,,,Diagnosis of Other nervous system infections,A82,Rabies
Other nervous system infections,,,Diagnosis of Other nervous system infections,A88,"Other viral infections of central nervous system, not elsewhere classified"
Other nervous system infections,,,Diagnosis of Other nervous system infections,A89,Unspecified viral infection of central nervous system
Other nervous system infections,,,Diagnosis of Other nervous system infections,B022,Zoster with other nervous system involvement
Other nervous system infections,,,Diagnosis of Other nervous system infections,B060,Rubella with neurological complications
Other nervous system infections,,,Diagnosis of Other nervous system infections,B431,Phaeomycotic brain abscess
Other nervous system infections,,,Diagnosis of Other nervous system infections,B451,Cerebral cryptococcosis
Other nervous system infections,,,Diagnosis of Other nervous system infections,B500,Plasmodium falciparum malaria with cerebral complications
Other nervous system infections,,,Diagnosis of Other nervous system infections,B582,Toxoplasma meningoencephalitis
Other nervous system infections,,,Diagnosis of Other nervous system infections,B690,Cysticercosis of central nervous system
Other nervous system infections,,,Diagnosis of Other nervous system infections,B900,Sequelae of central nervous system tuberculosis
Other nervous system infections,,,Diagnosis of Other nervous system infections,B91,Sequelae of poliomyelitis
Other nervous system infections,,,Possible diagnosis of Other nervous system infections,G042,"Bacterial meningoencephalitis and meningomyelitis, not elsewhere classified"
Other nervous system infections,,,Possible diagnosis of Other nervous system infections,G048,"Other encephalitis, myelitis and encephalomyelitis"
Other nervous system infections,,,Possible diagnosis of Other nervous system infections,G049,"Encephalitis, myelitis and encephalomyelitis, unspecified"
Other nervous system infections,,,Possible diagnosis of Other nervous system infections,G050,"Encephalitis, myelitis and encephalomyelitis in bacterial diseases classified elsewhere"
Other nervous system infections,,,Possible diagnosis of Other nervous system infections,G051,"Encephalitis, myelitis and encephalomyelitis in viral diseases classified elsewhere"
Other nervous system infections,,,Possible diagnosis of Other nervous system infections,G052,"Encephalitis, myelitis and encephalomyelitis in other infectious and parasitic diseases classified elsewhere"
Other nervous system infections,,,Diagnosis of Other nervous system infections,G06,Intracranial and intraspinal abscess and granuloma
Other nervous system infections,,,Diagnosis of Other nervous system infections,G07,Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere
Other nervous system infections,,,Diagnosis of Other nervous system infections,G08,Intracranial and intraspinal phlebitis and thrombophlebitis
Other nervous system infections,,,Diagnosis of Other nervous system infections,M896,Osteopathy after poliomyelitis
Sick sinus syndrome,,,Diagnosis of Sick sinus syndrome,I495,Sick sinus syndrome
Hidradenitis suppurativa,,,Diagnosis of Hidradenitis suppurativa,L732,Hidradenitis suppurativa
Fibromatoses,,,Diagnosis of Fibromatoses,M720,Palmar fascial fibromatosis [Dupuytren]
Fibromatoses,,,Diagnosis of Fibromatoses,M721,Knuckle pads
Secondary Malignancy_Bowel,,,Diagnosis of Secondary Malignancy_Bowel,C784,Secondary malignant neoplasm of small intestine
Secondary Malignancy_Bowel,,,Diagnosis of Secondary Malignancy_Bowel,C785,Secondary malignant neoplasm of large intestine and rectum
Peritonitis,G351,Closure of perforated ulcer of stomach,Procedure for Peritonitis,,
Peritonitis,G362,Closure of perforation of stomach NEC,Procedure for Peritonitis,,
Peritonitis,G412,Repair of perforation of pylorus,Procedure for Peritonitis,,
Peritonitis,G521,Closure of perforated ulcer of duodenum,Procedure for Peritonitis,,
Peritonitis,G532,Closure of perforation of duodenum NEC,Procedure for Peritonitis,,
Peritonitis,G633,Closure of perforation of jejunum,Procedure for Peritonitis,,
Peritonitis,G784,Closure of perforation of ileum,Procedure for Peritonitis,,
Peritonitis,J203,Repair of perforation of gall bladder,Procedure for Peritonitis,,
Left bundle branch block,,,Diagnosis of Left bundle branch block,I447,"Left bundle-branch block, unspecified"
Ear and Upper Respiratory Tract Infections,,,Diagnosis of Ear and Upper Respiratory Tract Infections,A186,Tuberculosis of ear
Ear and Upper Respiratory Tract Infections,,,Diagnosis of Ear and Upper Respiratory Tract Infections,A360,Pharyngeal diphtheria
Ear and Upper Respiratory Tract Infections,,,Diagnosis of Ear and Upper Respiratory Tract Infections,A361,Nasopharyngeal diphtheria
Ear and Upper Respiratory Tract Infections,,,Diagnosis of Ear and Upper Respiratory Tract Infections,A362,Laryngeal diphtheria
Ear and Upper Respiratory Tract Infections,,,Diagnosis of Ear and Upper Respiratory Tract Infections,A545,Gonococcal pharyngitis
Ear and Upper Respiratory Tract Infections,,,Diagnosis of Ear and Upper Respiratory Tract Infections,A564,Chlamydial infection of pharynx
Ear and Upper Respiratory Tract Infections,,,Diagnosis of Ear and Upper Respiratory Tract Infections,B053,Measles complicated by otitis media
Ear and Upper Respiratory Tract Infections,,,Diagnosis of Ear and Upper Respiratory Tract Infections,B27,Infectious mononucleosis
Ear and Upper Respiratory Tract Infections,,,Diagnosis of Ear and Upper Respiratory Tract Infections,B442,Tonsillar aspergillosis
Ear and Upper Respiratory Tract Infections,,,Diagnosis of Ear and Upper Respiratory Tract Infections,B873,Nasopharyngeal myiasis
Ear and Upper Respiratory Tract Infections,,,Diagnosis of Ear and Upper Respiratory Tract Infections,B874,Aural myiasis
Ear and Upper Respiratory Tract Infections,,,Diagnosis of Ear and Upper Respiratory Tract Infections,H60,Otitis externa
Ear and Upper Respiratory Tract Infections,,,Diagnosis of Ear and Upper Respiratory Tract Infections,H620,Otitis externa in bacterial diseases classified elsewhere
Ear and Upper Respiratory Tract Infections,,,Diagnosis of Ear and Upper Respiratory Tract Infections,H621,Otitis externa in viral diseases classified elsewhere
Ear and Upper Respiratory Tract Infections,,,Diagnosis of Ear and Upper Respiratory Tract Infections,H622,Otitis externa in mycoses
Ear and Upper Respiratory Tract Infections,,,Diagnosis of Ear and Upper Respiratory Tract Infections,H623,Otitis externa in other infectious and parasitic diseases classified elsewhere
Ear and Upper Respiratory Tract Infections,,,Diagnosis of Ear and Upper Respiratory Tract Infections,H624,Otitis externa in other diseases classified elsewhere
Ear and Upper Respiratory Tract Infections,,,Diagnosis of Ear and Upper Respiratory Tract Infections,H65,Nonsuppurative otitis media
Ear and Upper Respiratory Tract Infections,,,Diagnosis of Ear and Upper Respiratory Tract Infections,H66,Suppurative and unspecified otitis media
Ear and Upper Respiratory Tract Infections,,,Diagnosis of Ear and Upper Respiratory Tract Infections,H67,Otitis media in diseases classified elsewhere
Ear and Upper Respiratory Tract Infections,,,Diagnosis of Ear and Upper Respiratory Tract Infections,H70,Mastoiditis and related conditions
Ear and Upper Respiratory Tract Infections,,,Diagnosis of Ear and Upper Respiratory Tract Infections,H730,Acute myringitis
Ear and Upper Respiratory Tract Infections,,,Diagnosis of Ear and Upper Respiratory Tract Infections,H731,Chronic myringitis
Ear and Upper Respiratory Tract Infections,,,Diagnosis of Ear and Upper Respiratory Tract Infections,H750,Mastoiditis in infectious and parasitic diseases classified elsewhere
Ear and Upper Respiratory Tract Infections,,,Diagnosis of Ear and Upper Respiratory Tract Infections,J00,Acute nasopharyngitis [common cold]
Ear and Upper Respiratory Tract Infections,,,Diagnosis of Ear and Upper Respiratory Tract Infections,J01,Acute sinusitis
Ear and Upper Respiratory Tract Infections,,,Diagnosis of Ear and Upper Respiratory Tract Infections,J02,Acute pharyngitis
Ear and Upper Respiratory Tract Infections,,,Diagnosis of Ear and Upper Respiratory Tract Infections,J03,Acute tonsillitis
Ear and Upper Respiratory Tract Infections,,,Diagnosis of Ear and Upper Respiratory Tract Infections,J04,Acute laryngitis and tracheitis
Ear and Upper Respiratory Tract Infections,,,Diagnosis of Ear and Upper Respiratory Tract Infections,J05,Acute obstructive laryngitis [croup] and epiglottitis
Ear and Upper Respiratory Tract Infections,,,Diagnosis of Ear and Upper Respiratory Tract Infections,J06,Acute upper respiratory infections of multiple and unspecified sites
Ear and Upper Respiratory Tract Infections,,,Diagnosis of Ear and Upper Respiratory Tract Infections,J340,"Abscess, furuncle and carbuncle of nose"
Ear and Upper Respiratory Tract Infections,,,Diagnosis of Ear and Upper Respiratory Tract Infections,J36,Peritonsillar abscess
Ear and Upper Respiratory Tract Infections,,,Diagnosis of Ear and Upper Respiratory Tract Infections,J37,Chronic laryngitis and laryngotracheitis
Ear and Upper Respiratory Tract Infections,,,Diagnosis of Ear and Upper Respiratory Tract Infections,J390,Retropharyngeal and parapharyngeal abscess
Ear and Upper Respiratory Tract Infections,,,Diagnosis of Ear and Upper Respiratory Tract Infections,J391,Other abscess of pharynx
Fibromatoses,T521,Palmar fasciectomy,Procedure for Fibromatoses,,
Fibromatoses,T522,Revision of palmar fasciectomy,Procedure for Fibromatoses,,
Fibromatoses,T541,Division of palmar fascia,Procedure for Fibromatoses,,
Bifascicular block,,,Diagnosis of Bifascicular block,I452,Bifascicular block
Infection of anal and rectal regions,,,Diagnosis of Infection of anal and rectal regions,A511,Primary anal syphilis
Infection of anal and rectal regions,,,Diagnosis of Infection of anal and rectal regions,A546,Gonococcal infection of anus and rectum
Infection of anal and rectal regions,,,Diagnosis of Infection of anal and rectal regions,A563,Chlamydial infection of anus and rectum
Infection of anal and rectal regions,,,Diagnosis of Infection of anal and rectal regions,A601,Herpesviral infection of perianal skin and rectum
Infection of anal and rectal regions,,,Diagnosis of Infection of anal and rectal regions,A609,"Anogenital herpesviral infection, unspecified"
Infection of anal and rectal regions,,,Diagnosis of Infection of anal and rectal regions,A630,Anogenital (venereal) warts
Infection of anal and rectal regions,,,Diagnosis of Infection of anal and rectal regions,K61,Abscess of anal and rectal regions
Primary Malignancy_Cervical,,,Diagnosis of Primary Malignancy_Cervical,C53,Malignant neoplasm of cervix uteri
Leiomyoma of uterus,,,Diagnosis of Leiomyoma of uterus,D25,Leiomyoma of uterus
Myocardial infarction,,,History of MI (1),I252,Old myocardial infarction
Myocardial infarction,,,Acute MI not further specified (5),I21,Acute myocardial infarction
Myocardial infarction,,,Subsequent MI (6),I22,Subsequent myocardial infarction
Myocardial infarction,,,Complications of MI (7),I23,Certain current complications following acute myocardial infarction
Myocardial infarction,,,Complications of MI (7),I241,Dressler's syndrome
Bell's palsy,,,Diagnosis of Bell's (facial) palsy,G510,Bell's palsy
Secondary Malignancy_Adrenal gland,,,Diagnosis of Secondary Malignancy_Adrenal gland,C797,Secondary malignant neoplasm of adrenal gland
Parkinson's disease,,,History of Parkinson's disease,F023,Dementia in Parkinson's disease
Parkinson's disease,,,Diagnosis of Parkinson's disease,G20,Parkinson's disease
Urolithiasis,,,Diagnosis of Urolithiasis,N132,Hydronephrosis with renal and ureteral calculous obstruction
Urolithiasis,,,Diagnosis of Urolithiasis,N200,Calculus of kidney
Urolithiasis,,,Diagnosis of Urolithiasis,N201,Calculus of ureter
Urolithiasis,,,Diagnosis of Urolithiasis,N202,Calculus of kidney with calculus of ureter
Urolithiasis,,,Diagnosis of Urolithiasis,N209,"Urinary calculus, unspecified"
Urolithiasis,,,Diagnosis of Urolithiasis,N210,Calculus in bladder
Urolithiasis,,,Diagnosis of Urolithiasis,N211,Calculus in urethra
Urolithiasis,,,Diagnosis of Urolithiasis,N218,Other lower urinary tract calculus
Urolithiasis,,,Diagnosis of Urolithiasis,N219,"Calculus of lower urinary tract, unspecified"
Urolithiasis,,,Diagnosis of Urolithiasis,N228,Calculus of urinary tract in other diseases classified elsewhere
Urolithiasis,,,Diagnosis of Urolithiasis,N23X,Unspecified renal colic
Peptic ulcer disease,,,Diagnosis of Peptic ulcer disease,K25,Gastric ulcer
Peptic ulcer disease,,,Diagnosis of Peptic ulcer disease,K26,Duodenal ulcer
Peptic ulcer disease,,,Diagnosis of Peptic ulcer disease,K27,"Peptic ulcer, site unspecified"
Peptic ulcer disease,,,Diagnosis of Peptic ulcer disease,K28,Gastrojejunal ulcer
Hypertension,,,Hypertension (3),I10,Essential (primary) hypertension
Hypertension,,,Hypertension (3),I11,Hypertensive heart disease
Hypertension,,,Hypertension (3),I12,Hypertensive renal disease
Hypertension,,,Hypertension (3),I13,Hypertensive heart and renal disease
Hypertension,,,Secondary hypertension (4),I15,Secondary hypertension
Pulmonary collapse (excl pneumothorax),,,Diagnosis of Pulmonary collapse (excl pneumothorax),J981,Pulmonary collapse
Posterior Uveitis,,,Diagnosis of Posterior Uveitis,H300,Focal chorioretinal inflammation
Posterior Uveitis,,,Diagnosis of Posterior Uveitis,H301,Disseminated chorioretinal inflammation
Posterior Uveitis,,,Diagnosis of Posterior Uveitis,H308,Other chorioretinal inflammations
Posterior Uveitis,,,Diagnosis of Posterior Uveitis,H309,"Chorioretinal inflammation, unspecified"
Posterior Uveitis,,,Diagnosis of Posterior Uveitis,H320,Chorioretinal inflammation in infectious and parasitic diseases classified elsewhere
Supraventricular tachycardia,,,Diagnosis of Supraventricular tachycardia,I471,Supraventricular tachycardia
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,A085,Other specified intestinal infections
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,A09,Other gastroenteritis and colitis of infectious and unspecified origin
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,A418,Other specified sepsis
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,A419,"Sepsis, unspecified"
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,A638,Other specified predominantly sexually transmitted diseases
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,A64,Unspecified sexually transmitted disease
Other or unspecified infectious organisms,,,Diagnosis of Other or unspecified infectious organisms,A810,Creutzfeldt-Jakob disease
Other or unspecified infectious organisms,,,Diagnosis of Other or unspecified infectious organisms,A818,Other atypical virus infections of central nervous system
Other or unspecified infectious organisms,,,Diagnosis of Other or unspecified infectious organisms,A819,"Atypical virus infection of central nervous system, unspecified"
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,B948,Sequelae of other specified infectious and parasitic diseases
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,B949,Sequelae of unspecified infectious or parasitic disease
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,B99,Other and unspecified infectious diseases
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,G028,Meningitis in other specified infectious and parasitic diseases classified elsewhere
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,G048,"Other encephalitis, myelitis and encephalomyelitis"
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,G049,"Encephalitis, myelitis and encephalomyelitis, unspecified"
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,G052,"Encephalitis, myelitis and encephalomyelitis in other infectious and parasitic diseases classified elsewhere"
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,G06,Intracranial and intraspinal abscess and granuloma
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,G07,Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,G08,Intracranial and intraspinal phlebitis and thrombophlebitis
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,G531,Multiple cranial nerve palsies in infectious and parasitic diseases classified elsewhere
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,G630,Polyneuropathy in infectious and parasitic diseases classified elsewhere
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,G940,Hydrocephalus in infectious and parasitic diseases classified elsewhere
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,H10,Conjunctivitis
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,H131,Conjunctivitis in infectious and parasitic diseases classified elsewhere
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,H192,Keratitis and keratoconjunctivitis in other infectious and parasitic diseases classified elsewhere
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,H60,Otitis externa
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,H623,Otitis externa in other infectious and parasitic diseases classified elsewhere
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,H624,Otitis externa in other diseases classified elsewhere
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,H65,Nonsuppurative otitis media
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,H66,Suppurative and unspecified otitis media
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,H678,Otitis media in other diseases classified elsewhere
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,H70,Mastoiditis and related conditions
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,H730,Acute myringitis
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,H731,Chronic myringitis
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,H750,Mastoiditis in infectious and parasitic diseases classified elsewhere
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,I301,Infective pericarditis
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,I321,Pericarditis in other infectious and parasitic diseases classified elsewhere
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,I330,Acute and subacute infective endocarditis
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,I400,Infective myocarditis
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,I412,Myocarditis in other infectious and parasitic diseases classified elsewhere
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,I430,Cardiomyopathy in infectious and parasitic diseases classified elsewhere
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,I981,Cardiovascular disorders in other infectious and parasitic diseases classified elsewhere
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,J00,Acute nasopharyngitis [common cold]
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,J01,Acute sinusitis
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,J028,Acute pharyngitis due to other specified organisms
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,J029,"Acute pharyngitis, unspecified"
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,J038,Acute tonsillitis due to other specified organisms
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,J039,"Acute tonsillitis, unspecified"
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,J04,Acute laryngitis and tracheitis
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,J05,Acute obstructive laryngitis [croup] and epiglottitis
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,J06,Acute upper respiratory infections of multiple and unspecified sites
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,J168,Pneumonia due to other specified infectious organisms
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,J178,Pneumonia in other diseases classified elsewhere
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,J18,"Pneumonia, organism unspecified"
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,J208,Acute bronchitis due to other specified organisms
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,J209,"Acute bronchitis, unspecified"
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,J22,Unspecified acute lower respiratory infection
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,J440,Chronic obstructive pulmonary disease with acute lower respiratory infection
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,J441,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified"
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,J85,Abscess of lung and mediastinum
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,K750,Abscess of liver
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,K770,Liver disorders in infectious and parasitic diseases classified elsewhere
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,L080,Pyoderma
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,L088,Other specified local infections of skin and subcutaneous tissue
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,L089,"Local infection of skin and subcutaneous tissue, unspecified"
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,L303,Infective dermatitis
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,M018,Arthritis in other infectious and parasitic diseases classified elsewhere
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,M02,Reactive arthropathies
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,M03,Postinfective and reactive arthropathies in diseases classified elsewhere
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,M463,Infection of intervertebral disc (pyogenic)
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,M464,"Discitis, unspecified"
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,M465,Other infective spondylopathies
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,M493,Spondylopathy in other infectious and parasitic diseases classified elsewhere
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,M600,Infective myositis
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,M632,Myositis in other infectious diseases classified elsewhere
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,N080,Glomerular disorders in infectious and parasitic diseases classified elsewhere
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,N10,Acute tubulo-interstitial nephritis
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,N160,Renal tubulo-interstitial disorders in infectious and parasitic diseases classified elsewhere
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,N291,Other disorders of kidney and ureter in infectious and parasitic diseases classified elsewhere
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,N300,Acute cystitis
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,N308,Other cystitis
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,N309,"Cystitis, unspecified"
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,N34,Urethritis and urethral syndrome
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,N481,Balanoposthitis
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,N770,Ulceration of vulva in infectious and parasitic diseases classified elsewhere
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,N771,"Vaginitis, vulvitis and vulvovaginitis in infectious and parasitic diseases classified elsewhere"
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,P238,Congenital pneumonia due to other organisms
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,P239,"Congenital pneumonia, unspecified"
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,P378,Other specified congenital infectious and parasitic diseases
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,P379,"Congenital infectious and parasitic disease, unspecified"
Other or unspecified infectious organisms,,,Possible diagnosis of Other or unspecified infectious organisms,P39,Other infections specific to the perinatal period
Asthma,,,Diagnosis of Asthma,J45,Asthma
Asthma,,,Diagnosis of Asthma,J46,Status asthmaticus
Splenomegaly,,,Diagnosis of Splenomegaly,D731,Hypersplenism
Splenomegaly,,,Diagnosis of Splenomegaly,D732,Chronic congestive splenomegaly
Splenomegaly,,,Diagnosis of Splenomegaly,R161,"Splenomegaly, not elsewhere classified"
Splenomegaly,,,Diagnosis of Splenomegaly,R162,"Hepatomegaly with splenomegaly, not elsewhere classified"
Primary Malignancy_Bladder,,,Diagnosis of Primary Malignancy_Bladder,C67,Malignant neoplasm of bladder
Slow fetal growth or low birth weight,,,Diagnosis of Slow fetal growth or low birth weight,P050,Light for gestational age
Slow fetal growth or low birth weight,,,Diagnosis of Slow fetal growth or low birth weight,P051,Small for gestational age
Slow fetal growth or low birth weight,,,Diagnosis of Slow fetal growth or low birth weight,P059,"Slow fetal growth, unspecified"
Slow fetal growth or low birth weight,,,Diagnosis of Slow fetal growth or low birth weight,P070,Extremely low birth weight
Slow fetal growth or low birth weight,,,Diagnosis of Slow fetal growth or low birth weight,P071,Other low birth weight
Intracranial hypertension,,,Diagnosis of Idiopathic intracranial hypertension,G932,Benign intracranial hypertension
Agranulocytosis,,,Diagnosis of Agranulocytosis,D70,Agranulocytosis
Primary Malignancy_Testicular,,,Diagnosis of Primary Malignancy_Testicular,C62,Malignant neoplasm of testis
Pleural effusion,,,Diagnosis of Pleural effusion,J90,"Pleural effusion, not elsewhere classified"
Pleural effusion,,,Diagnosis of Pleural effusion,J91,Pleural effusion in conditions classified elsewhere
Congenital malformations of cardiac septa,K04,Repair of tetralogy of Fallot,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K041,Repair of tetralogy of Fallot using valved right ventricular outflow conduit,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K042,Repair of tetralogy of Fallot using right ventricular outflow conduit NEC,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K043,Repair of tetralogy of Fallot using transannular patch,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K044,Revision of repair of tetralogy of Fallot,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K045,Repair of tetralogy of Fallot with absent pulmonary valve,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K046,Repair of Fallot-type pulmonary atresia with aortopulmonary collaterals,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K048,Other specified repair of tetralogy of Fallot,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K049,Unspecified repair of tetralogy of Fallot,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K09,Repair of defect of atrioventricular septum,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K091,Repair of defect of atrioventricular septum using dual prosthetic patches,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K092,Repair of defect of atrioventricular septum using prosthetic patch NEC,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K093,Repair of defect of atrioventricular septum using tissue graft,Procedure for Congenital malformations of cardiac septa,,
